number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.294656684413895e+37,6.0180172483442054e+32,1.1073291982213214e+35
8.000910059528155e+37,6.876923362210598e+32,1.2151602046706925e+35
8.775541406552462e+37,7.853917060051906e+32,1.333520218146168e+35
9.625170937449377e+37,8.970196786666486e+32,1.4634411507439378e+35
1.055705981923182e+38,1.0471557492054988e+33,1.60605823603205e+35
1.1579172229888014e+38,1.2873194700748652e+33,1.762675200540657e+35
1.270024342243102e+38,1.6250616620479505e+33,1.934732031059501e+35
1.3929854378766969e+38,2.0953355159066824e+33,2.12383319957092e+35
1.5278513691394339e+38,2.761503685551755e+33,2.331785787953868e+35
1.6757747372717843e+38,3.7019936646018653e+33,2.5606405331363967e+35
1.838019735951185e+38,5.017935480460853e+33,2.81273271201311e+35
2.0159729554379548e+38,6.845078747396118e+33,3.09073686971057e+35
2.2111552327559887e+38,9.374873857754472e+33,3.397742253197273e+35
2.425234649183103e+38,1.289041530006919e+34,3.73736261904901e+35
2.6600407861311688e+38,1.7821117257787783e+34,4.113900241292376e+35
2.9175803612506894e+38,2.481436493810392e+34,4.532587319363369e+35
3.2000543783902547e+38,3.4811944711499233e+34,4.9999239054398445e+35
3.50987693797914e+38,4.910646047123559e+34,5.5241154524172496e+35
3.849695868591723e+38,6.93456278204843e+34,6.115585071369773e+35
4.222415356016756e+38,9.74601984276943e+34,6.787504256903616e+35
4.6312207632256775e+38,1.3551995991053563e+35,7.556268946011907e+35
5.0796058533582875e+38,1.855656930583736e+35,8.441865123262749e+35
5.5714026483808194e+38,2.4950351004628028e+35,9.468128939296672e+35
6.110814178596736e+38,3.2915628345863875e+35,1.0662997749263912e+36
6.7024504028965465e+38,4.265285164833997e+35,1.205893516674451e+36
7.351367606730926e+38,5.442608632288905e+35,1.3693749878544482e+36
8.063111614513042e+38,6.861536211910785e+35,1.5611980129978882e+36
8.84376518575515e+38,8.575578690332309e+35,1.786687441874824e+36
